2017-11-05 00:00:08, with, /
2017-11-05 01:39:25, 22.1, 52.0
2017-11-05 01:39:40, 22.1, 52.0
2017-11-05 01:39:55, 22.1, 52.0
2017-11-05 01:40:10, 22.1, 52.0
2017-11-05 01:40:26, 22.1, 52.0
2017-11-05 01:40:41, 22.1, 52.0
2017-11-05 01:40:56, 22.1, 52.0
2017-11-05 01:41:11, 22.1, 51.9
2017-11-05 01:41:26, 22.1, 51.9
2017-11-05 01:41:42, 22.1, 51.9
2017-11-05 01:41:57, 22.1, 51.9
2017-11-05 01:42:18, 22.1, 51.9
2017-11-05 01:42:33, 22.1, 51.9
2017-11-05 01:42:49, 22.1, 51.9
2017-11-05 01:43:04, 22.1, 51.9
2017-11-05 01:43:19, 22.1, 51.8
2017-11-05 01:43:34, 22.1, 51.8
2017-11-05 01:43:49, 22.1, 51.8
2017-11-05 01:44:04, 22.1, 51.8
2017-11-05 01:44:20, 22.1, 51.8
2017-11-05 01:44:35, 22.1, 51.8
2017-11-05 01:44:50, 22.1, 51.8
2017-11-05 01:45:05, 22.1, 51.8
2017-11-05 01:45:20, 22.1, 51.8
2017-11-05 01:45:36, 22.1, 51.7
2017-11-05 01:45:51, 22.1, 51.7
2017-11-05 01:46:06, 22.1, 51.7
2017-11-05 01:46:21, 22.1, 51.7
2017-11-05 01:46:36, 22.1, 51.7
2017-11-05 01:46:51, 22.1, 51.6
2017-11-05 01:47:07, 22.1, 51.6
2017-11-05 01:47:22, 22.1, 51.6
2017-11-05 01:47:37, 22.1, 51.6
2017-11-05 01:47:52, 22.1, 51.6
2017-11-05 01:48:07, 22.1, 51.6
2017-11-05 01:48:23, 22.2, 51.6
2017-11-05 01:48:38, 22.2, 51.6
2017-11-05 01:48:53, 22.2, 51.6
2017-11-05 01:49:08, 22.2, 51.5
2017-11-05 01:49:23, 22.2, 51.5
2017-11-05 01:49:38, 22.2, 51.5
2017-11-05 01:49:54, 22.2, 51.5
2017-11-05 01:50:09, 22.1, 51.5
2017-11-05 01:50:24, 22.2, 51.5
2017-11-05 01:50:39, 22.2, 51.5
2017-11-05 01:50:54, 22.2, 51.5
2017-11-05 01:51:09, 22.2, 51.4
2017-11-05 01:51:25, 22.2, 51.4
2017-11-05 01:51:40, 22.2, 51.4
2017-11-05 01:51:55, 22.2, 51.4
2017-11-05 01:52:10, 22.2, 51.4
2017-11-05 01:52:25, 22.2, 51.4
2017-11-05 01:52:41, 22.2, 51.4
2017-11-05 01:52:56, 22.1, 51.3
2017-11-05 01:53:11, 22.2, 51.3
2017-11-05 01:53:26, 22.1, 51.3
2017-11-05 01:53:41, 22.1, 51.3
2017-11-05 01:53:57, 22.2, 51.3
2017-11-05 01:54:12, 22.1, 51.3
2017-11-05 01:54:27, 22.1, 51.3
2017-11-05 01:54:42, 22.1, 51.3
2017-11-05 01:54:57, 22.1, 51.3
2017-11-05 01:55:12, 22.1, 51.3
2017-11-05 01:55:28, 22.1, 51.3
2017-11-05 01:55:43, 22.1, 51.3
2017-11-05 01:55:58, 22.1, 51.3
2017-11-05 01:56:13, 22.1, 51.3
2017-11-05 01:56:28, 22.1, 51.3
2017-11-05 01:56:43, 22.1, 51.3
2017-11-05 01:56:59, 22.1, 51.3
2017-11-05 01:57:14, 22.1, 51.3
2017-11-05 01:57:29, 22.1, 51.3
2017-11-05 01:57:44, 22.1, 51.3
2017-11-05 01:57:59, 22.1, 51.4
2017-11-05 01:58:15, 22.1, 51.3
2017-11-05 01:58:30, 22.1, 51.4
2017-11-05 01:58:45, 22.1, 51.4
2017-11-05 01:59:00, 22.1, 51.4
2017-11-05 01:59:15, 22.1, 51.4
2017-11-05 01:59:31, 22.1, 51.4
2017-11-05 01:59:46, 22.1, 51.4
2017-11-05 02:00:01, 22.1, 51.4
2017-11-05 02:00:16, 22.1, 51.4
2017-11-05 02:00:31, 22.1, 51.4
2017-11-05 02:00:47, 22.1, 51.5
2017-11-05 02:01:02, 22.1, 51.5
2017-11-05 02:01:17, 22.1, 51.5
2017-11-05 02:01:32, 22.1, 51.5
2017-11-05 02:01:47, 22.1, 51.5
